STATE CD,STATE,Month,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,Filing %age as on 30th Apr 2025,,
32,Kerala,2018-02-01T00:00:00Z,133611,107297,19221,126518,0.946913054,,
32,Kerala,2021-06-01T00:00:00Z,315837,88971,210088,299059,0.946877662,,
6,Haryana,2022-07-01T00:00:00Z,276623,186686,75218,261904,0.946790397,,
23,Madhya Pradesh,2021-05-01T00:00:00Z,186389,21999,154460,176459,0.946724324,,
26,Dadra and Nagar Haveli,2019-12-01T00:00:00Z,7976,5484,2067,7551,0.946715145,,
27,Maharashtra,2017-09-01T00:00:00Z,1060520,813583,190345,1003928,0.946637499,,
27,Maharashtra,2018-03-01T00:00:00Z,1148243,833059,253844,1086903,0.946579252,,
9,Uttar Pradesh,2021-08-01T00:00:00Z,789854,358126,389488,747614,0.946521762,,
32,Kerala,2022-06-01T00:00:00Z,339208,186274,320573,321056,0.946487111,,
,Himachal Pradesh,2025-02-01T00:00:00Z,48813,33564,12634,46198,0.946428206,,
,Telangana,2025-02-01T00:00:00Z,384239,211660,151979,363639,0.946387535,,
6,Haryana,2017-09-01T00:00:00Z,302837,237446,49153,286599,0.946380396,,
32,Kerala,2021-09-01T00:00:00Z,322067,179696,125083,304779,0.946321728,,
27,Maharashtra,2021-07-01T00:00:00Z,758000,368186,349085,717271,0.94626781,,
31,Lakshadweep,2022-10-01T00:00:00Z,186,100,76,176,0.946236559,,
6,Haryana,2021-09-01T00:00:00Z,454446,288431,141576,430007,0.946222433,,
33,Tamil Nadu,2021-07-01T00:00:00Z,822173,406720,371214,777934,0.94619259,,
26,Dadra and Nagar Haveli,2017-09-01T00:00:00Z,6403,5319,739,6058,0.946119007,,
26,Dadra and Nagar Haveli,2021-10-01T00:00:00Z,11277,7251,3418,10669,0.946084952,,
23,Madhya Pradesh,2022-03-01T00:00:00Z,410654,161081,227426,388507,0.946068953,,
34,Puducherry,2022-04-01T00:00:00Z,17959,9246,7744,16990,0.946043766,,
23,Madhya Pradesh,2021-03-01T00:00:00Z,378386,109678,248290,357968,0.94603923,,
23,Madhya Pradesh,2021-08-01T00:00:00Z,187639,70382,107124,177506,0.945997367,,
26,Dadra and Nagar Haveli,2021-04-01T00:00:00Z,11035,3385,7053,10438,0.945899411,,
9,Uttar Pradesh,2022-02-01T00:00:00Z,829968,444953,340086,785039,0.945866588,,
2,Himachal Pradesh,2021-05-01T00:00:00Z,44517,6257,35849,42106,0.945840915,,
27,Maharashtra,2021-05-01T00:00:00Z,754952,124564,589489,714053,0.945825695,,
33,Tamil Nadu,2022-02-01T00:00:00Z,869274,520860,301311,822171,0.945813403,,
32,Kerala,2022-07-01T00:00:00Z,277547,165374,97126,262500,0.945785759,,
1,Jammu and Kashmir,2021-09-01T00:00:00Z,93037,37652,50325,87977,0.945613036,,
33,Tamil Nadu,2021-06-01T00:00:00Z,924274,368876,505048,873924,0.945524812,,
27,Maharashtra,2023-01-01T00:00:00Z,864672,598861,218599,817460,0.945398949,,
19,West Bengal,2022-08-01T00:00:00Z,375522,195431,159587,355018,0.945398672,,
32,Kerala,2022-01-01T00:00:00Z,267796,161900,91261,253161,0.945350192,,
,Andaman and Nicobar Islands,2025-01-01T00:00:00Z,3858,1758,1889,3647,0.94530845,,
20,Jharkhand,2022-07-01T00:00:00Z,122532,54809,61016,115825,0.945263278,,
1,Jammu and Kashmir,2022-08-01T00:00:00Z,69437,27368,38264,65632,0.945202126,,
34,Puducherry,2022-06-01T00:00:00Z,20468,10328,19316,19343,0.945036154,,
31,Lakshadweep,2021-12-01T00:00:00Z,218,102,104,206,0.944954128,,
32,Kerala,2022-04-01T00:00:00Z,273479,153047,105373,258420,0.944935443,,
8,Rajasthan,2017-07-01T00:00:00Z,399525,308273,69251,377524,0.944932107,,
1,Jammu and Kashmir,2022-01-01T00:00:00Z,63719,28448,31762,60210,0.944930084,,
32,Kerala,2022-05-01T00:00:00Z,275367,161562,98595,260157,0.944764623,,
9,Uttar Pradesh,2022-07-01T00:00:00Z,869959,419460,402363,821823,0.944668657,,
27,Maharashtra,2017-07-01T00:00:00Z,914892,719136,144958,864094,0.944476507,,
4,Chandigarh,2020-09-01T00:00:00Z,27174,18792,6872,25664,0.944432178,,
6,Haryana,2022-02-01T00:00:00Z,267720,188681,64147,252828,0.94437472,,
32,Kerala,2021-11-01T00:00:00Z,264607,210301,39556,249857,0.944256955,,
20,Jharkhand,2022-05-01T00:00:00Z,121339,51598,62972,114570,0.944214144,,
9,Uttar Pradesh,2021-07-01T00:00:00Z,775495,320714,411471,732185,0.9441518,,
35,Andaman and Nicobar Islands,2022-01-01T00:00:00Z,3256,1290,1784,3074,0.944103194,,
20,Jharkhand,2022-08-01T00:00:00Z,124179,54846,62388,117234,0.944072669,,
9,Uttar Pradesh,2021-10-01T00:00:00Z,794310,362359,387433,749792,0.943953872,,
31,Lakshadweep,2022-04-01T00:00:00Z,178,75,93,168,0.943820225,,
19,West Bengal,2022-07-01T00:00:00Z,370844,197269,152730,349999,0.943790381,,
4,Chandigarh,2020-03-01T00:00:00Z,27176,20426,5222,25648,0.943773918,,
25,Daman and Diu,2018-03-01T00:00:00Z,5460,4285,868,5153,0.943772894,,
20,Jharkhand,2022-06-01T00:00:00Z,168897,72510,159082,159378,0.943640207,,
8,Rajasthan,2018-03-01T00:00:00Z,455889,335895,94166,430061,0.943345858,,
1,Jammu and Kashmir,2022-02-01T00:00:00Z,65133,29040,32401,61441,0.943315984,,
1,Jammu and Kashmir,2022-07-01T00:00:00Z,68216,28135,36209,64344,0.943239123,,
22,Chhattisgarh,2022-05-01T00:00:00Z,75353,35838,35233,71071,0.943174127,,
8,Rajasthan,2017-09-01T00:00:00Z,435929,333154,77923,411077,0.942990716,,
7,Delhi,2017-12-01T00:00:00Z,558644,442617,84166,526783,0.942967256,,
6,Haryana,2022-04-01T00:00:00Z,272326,183979,72804,256783,0.942925024,,
19,West Bengal,2023-01-01T00:00:00Z,393378,225791,145102,370893,0.942841237,,
22,Chhattisgarh,2022-02-01T00:00:00Z,73978,36999,32750,69749,0.942834356,,
22,Chhattisgarh,2022-06-01T00:00:00Z,132153,55494,124102,124598,0.942831415,,
35,Andaman and Nicobar Islands,2022-02-01T00:00:00Z,3286,1332,1766,3098,0.942787584,,
9,Uttar Pradesh,2021-09-01T00:00:00Z,1245422,606074,568094,1174168,0.942787264,,
1,Jammu and Kashmir,2022-05-01T00:00:00Z,68361,28244,36200,64444,0.942701248,,
3,Punjab,2022-05-01T00:00:00Z,167213,123782,33838,157620,0.942630059,,
9,Uttar Pradesh,2022-01-01T00:00:00Z,820095,424068,348840,772908,0.942461544,,
24,Gujarat,2020-06-01T00:00:00Z,888717,506474,331107,837581,0.942460873,,
6,Haryana,2017-12-01T00:00:00Z,321480,247493,55478,302971,0.942425656,,
32,Kerala,2021-05-01T00:00:00Z,254802,18956,221165,240121,0.942382713,,
38,Ladakh,2022-06-01T00:00:00Z,5863,2005,5485,5525,0.942350333,,
3,Punjab,2022-11-01T00:00:00Z,172338,126946,35449,162395,0.942305237,,
32,Kerala,2021-10-01T00:00:00Z,262041,154783,92127,246910,0.942257128,,
14,Manipur,2023-03-01T00:00:00Z,11229,2769,7811,10580,0.942203224,,
25,Daman and Diu,2019-12-01T00:00:00Z,5767,3777,1656,5433,0.942084273,,
9,Uttar Pradesh,2021-12-01T00:00:00Z,1285494,608190,602740,1210930,0.94199584,,
2,Himachal Pradesh,2021-04-01T00:00:00Z,44420,6731,35112,41843,0.941985592,,
,Odisha,2025-02-01T00:00:00Z,188792,84547,93291,177838,0.941978474,,
5,Uttarakhand,2022-11-01T00:00:00Z,87786,48063,34624,82687,0.941915567,,
19,West Bengal,2022-05-01T00:00:00Z,368904,194722,152747,347469,0.941895452,,
1,Jammu and Kashmir,2021-12-01T00:00:00Z,99346,39266,54298,93564,0.941799368,,
33,Tamil Nadu,2021-08-01T00:00:00Z,833879,409846,375488,785334,0.94178412,,
,Bihar,2024-08-01T00:00:00Z,302979,228060,57266,285326,0.941735236,,
20,Jharkhand,2022-04-01T00:00:00Z,120558,52252,61260,113512,0.941555102,,
7,Delhi,2021-03-01T00:00:00Z,717401,451790,223626,675416,0.941476246,,
2,Himachal Pradesh,2023-01-01T00:00:00Z,46153,28505,14931,43436,0.941130587,,
7,Delhi,2021-10-01T00:00:00Z,397671,257910,116314,374224,0.941039201,,
34,Puducherry,2022-02-01T00:00:00Z,17859,9525,7281,16806,0.941038132,,
32,Kerala,2021-04-01T00:00:00Z,255053,25509,214498,240007,0.941008339,,
32,Kerala,2021-07-01T00:00:00Z,257348,120458,121702,242160,0.940982638,,
22,Chhattisgarh,2022-04-01T00:00:00Z,74350,32911,37040,69951,0.940833894,,
,Punjab,2025-03-01T00:00:00Z,368393,256834,89734,346568,0.940756203,,
24,Gujarat,2017-10-01T00:00:00Z,225967,202803,9769,212572,0.940721433,,
32,Kerala,2021-08-01T00:00:00Z,259512,133223,110901,244124,0.940704091,,
22,Chhattisgarh,2022-08-01T00:00:00Z,75697,34604,36601,71205,0.94065815,,
,Manipur,2024-12-01T00:00:00Z,11727,3480,7550,11030,0.940564509,,
32,Kerala,2017-08-01T00:00:00Z,127093,107843,11696,119539,0.94056321,,
,Meghalaya,2024-11-01T00:00:00Z,14998,4973,9133,14106,0.940525403,,
24,Gujarat,2018-01-01T00:00:00Z,232401,204839,13711,218550,0.940400429,,
,Delhi,2025-03-01T00:00:00Z,780218,561818,171707,733525,0.940153906,,
19,West Bengal,2022-04-01T00:00:00Z,364360,187202,155352,342554,0.940152596,,
35,Andaman and Nicobar Islands,2022-04-01T00:00:00Z,3356,1262,1893,3155,0.940107271,,
33,Tamil Nadu,2022-01-01T00:00:00Z,867973,513197,302755,815952,0.940066108,,
23,Madhya Pradesh,2021-07-01T00:00:00Z,184231,63507,109679,173186,0.940048092,,
24,Gujarat,2020-03-01T00:00:00Z,893063,680053,159342,839395,0.939905695,,
22,Chhattisgarh,2021-06-01T00:00:00Z,118891,31455,80289,111744,0.939886114,,
22,Chhattisgarh,2022-03-01T00:00:00Z,129555,49378,72371,121749,0.939747598,,
19,West Bengal,2022-06-01T00:00:00Z,633580,319985,594498,595384,0.939714006,,
34,Puducherry,2022-03-01T00:00:00Z,20264,9994,9047,19041,0.939646664,,
34,Puducherry,2022-01-01T00:00:00Z,17809,9308,7426,16734,0.939637262,,
33,Tamil Nadu,2021-09-01T00:00:00Z,956956,532121,366964,899085,0.939525955,,
8,Rajasthan,2023-01-01T00:00:00Z,311697,218018,74786,292804,0.939386648,,
7,Delhi,2022-01-01T00:00:00Z,402711,281921,96350,378271,0.939311318,,
6,Haryana,2023-01-01T00:00:00Z,292625,212910,61904,274814,0.939133704,,
18,Assam,2022-10-01T00:00:00Z,124689,48331,68764,117095,0.939096472,,
22,Chhattisgarh,2022-07-01T00:00:00Z,74474,34343,35587,69930,0.938985418,,
24,Gujarat,2020-09-01T00:00:00Z,919225,645871,217251,863122,0.938967065,,
,Assam,2024-11-01T00:00:00Z,132952,53241,71562,124803,0.938707203,,
,Haryana,2025-03-01T00:00:00Z,538701,371675,133997,505672,0.938687695,,
25,Daman and Diu,2017-11-01T00:00:00Z,2634,2329,143,2472,0.938496583,,
22,Chhattisgarh,2021-12-01T00:00:00Z,126646,51242,67609,118851,0.938450484,,
9,Uttar Pradesh,2022-06-01T00:00:00Z,1358945,623338,1272521,1275237,0.938402216,,
5,Uttarakhand,2021-06-01T00:00:00Z,139510,46993,83915,130908,0.938341338,,
3,Punjab,2022-10-01T00:00:00Z,170493,125804,34171,159975,0.938308318,,
5,Uttarakhand,2022-10-01T00:00:00Z,86459,46668,34457,81125,0.938306018,,
26,Dadra and Nagar Haveli,2017-12-01T00:00:00Z,6809,5529,859,6388,0.938170069,,
20,Jharkhand,2021-03-01T00:00:00Z,153057,59772,83803,143575,0.938049223,,
3,Punjab,2017-07-01T00:00:00Z,220786,184145,22946,207091,0.937971611,,
5,Uttarakhand,2021-09-01T00:00:00Z,144082,68685,66456,135141,0.937945059,,
3,Punjab,2022-08-01T00:00:00Z,169859,120880,38431,159311,0.937901436,,
33,Tamil Nadu,2021-02-01T00:00:00Z,715104,358758,311803,670561,0.937711158,,
5,Uttarakhand,2021-12-01T00:00:00Z,148266,70573,68439,139012,0.937585151,,
33,Tamil Nadu,2021-11-01T00:00:00Z,859964,689023,117253,806276,0.93756948,,
22,Chhattisgarh,2021-03-01T00:00:00Z,116311,32780,76267,109047,0.93754675,,
24,Gujarat,2018-02-01T00:00:00Z,234200,204768,14800,219568,0.937523484,,
97,Other Territory,2017-11-01T00:00:00Z,32,28,2,30,0.9375,,
33,Tamil Nadu,2021-10-01T00:00:00Z,851169,428133,369642,797775,0.937269802,,
29,Karnataka,2022-08-01T00:00:00Z,670009,353245,274726,627971,0.937257559,,
8,Rajasthan,2019-12-01T00:00:00Z,541872,368743,139038,507781,0.937086618,,
29,Karnataka,2022-05-01T00:00:00Z,656039,365269,249495,614764,0.937084533,,
37,Andhra Pradesh,2022-05-01T00:00:00Z,249985,129578,104649,234227,0.936964218,,
21,Odisha,2023-01-01T00:00:00Z,173481,76970,85569,162539,0.93692681,,
33,Tamil Nadu,2021-12-01T00:00:00Z,982238,550875,369373,920248,0.936889023,,
29,Karnataka,2022-04-01T00:00:00Z,650637,341217,268292,609509,0.936788102,,
29,Karnataka,2022-02-01T00:00:00Z,640933,364112,236240,600352,0.93668449,,
6,Haryana,2022-01-01T00:00:00Z,264802,181626,66355,247981,0.936477066,,
21,Odisha,2022-08-01T00:00:00Z,163696,61817,91442,153259,0.93624157,,
3,Punjab,2022-02-01T00:00:00Z,163270,121927,30929,152856,0.936216084,,
20,Jharkhand,2021-06-01T00:00:00Z,155259,46350,98986,145336,0.936087441,,
3,Punjab,2022-04-01T00:00:00Z,164856,119440,34865,154305,0.93599869,,
23,Madhya Pradesh,2017-07-01T00:00:00Z,257308,197192,43591,240783,0.935777356,,
,Bihar,2024-11-01T00:00:00Z,306317,141469,145129,286598,0.935625512,,
3,Punjab,2022-07-01T00:00:00Z,167538,120454,36285,156739,0.935542981,,
9,Uttar Pradesh,2023-01-01T00:00:00Z,954168,507094,385569,892663,0.935540701,,
20,Jharkhand,2021-04-01T00:00:00Z,108412,12086,89334,101420,0.935505295,,
9,Uttar Pradesh,2022-03-01T00:00:00Z,1319511,603674,630452,1234126,0.935290422,,
19,West Bengal,2022-03-01T00:00:00Z,622234,301190,280741,581931,0.935228547,,
5,Uttarakhand,2022-06-01T00:00:00Z,154914,72910,144482,144878,0.935215668,,
4,Chandigarh,2019-09-01T00:00:00Z,27465,13512,12173,25685,0.935190242,,
7,Delhi,2021-06-01T00:00:00Z,718779,376101,296052,672153,0.935131661,,
3,Punjab,2021-08-01T00:00:00Z,162180,111006,40642,151648,0.93505981,,
9,Uttar Pradesh,2021-03-01T00:00:00Z,1203078,530623,594250,1124873,0.934995902,,
5,Uttarakhand,2022-03-01T00:00:00Z,151377,70019,71494,141513,0.934838185,,
29,Karnataka,2022-07-01T00:00:00Z,664863,365127,256406,621533,0.934828679,,
2,Himachal Pradesh,2021-07-01T00:00:00Z,44191,20596,20709,41305,0.934692584,,
8,Rajasthan,2020-12-01T00:00:00Z,594970,441179,114822,556001,0.93450258,,
,Manipur,2024-10-01T00:00:00Z,9370,2630,6123,8753,0.934151547,,
29,Karnataka,2022-03-01T00:00:00Z,830528,414817,360952,775769,0.934067244,,
18,Assam,2022-11-01T00:00:00Z,127177,49587,69192,118779,0.933966047,,
1,Jammu and Kashmir,2022-06-01T00:00:00Z,109205,39438,101752,101991,0.933940754,,
6,Haryana,2018-03-01T00:00:00Z,343982,255642,65580,321222,0.933833747,,
29,Karnataka,2022-01-01T00:00:00Z,633338,349065,242324,591389,0.933765225,,
20,Jharkhand,2021-05-01T00:00:00Z,108534,12031,89307,101338,0.933698196,,
20,Jharkhand,2022-03-01T00:00:00Z,167253,67169,88988,156157,0.933657393,,
20,Jharkhand,2022-02-01T00:00:00Z,119046,58207,52940,111147,0.933647498,,
22,Chhattisgarh,2021-09-01T00:00:00Z,124489,51226,64978,116204,0.933447935,,
1,Jammu and Kashmir,2021-03-01T00:00:00Z,84140,29823,48705,78528,0.93330164,,
7,Delhi,2023-01-01T00:00:00Z,448203,320079,98171,418250,0.933170907,,
29,Karnataka,2022-06-01T00:00:00Z,844882,446083,786859,788404,0.933152795,,
5,Uttarakhand,2021-03-01T00:00:00Z,138667,59508,69885,129393,0.933120353,,
9,Uttar Pradesh,2021-05-01T00:00:00Z,766983,91369,624276,715645,0.933065009,,
21,Odisha,2022-05-01T00:00:00Z,160653,64351,85544,149895,0.933035798,,
3,Punjab,2021-11-01T00:00:00Z,162572,135556,16121,151677,0.93298354,,
5,Uttarakhand,2022-05-01T00:00:00Z,84757,44611,34451,79062,0.93280791,,
23,Madhya Pradesh,2020-06-01T00:00:00Z,353115,130254,199124,329378,0.932778273,,
22,Chhattisgarh,2022-01-01T00:00:00Z,72827,34552,33376,67928,0.932730993,,
5,Uttarakhand,2022-04-01T00:00:00Z,82800,42401,34823,77224,0.932657005,,
29,Karnataka,2021-12-01T00:00:00Z,810789,406193,349960,756153,0.932613787,,
,Himachal Pradesh,2025-03-01T00:00:00Z,111276,62688,41081,103769,0.932537115,,
4,Chandigarh,2018-12-01T00:00:00Z,27347,6791,18710,25501,0.932497166,,
6,Haryana,2021-07-01T00:00:00Z,256617,145390,93885,239275,0.932420689,,
25,Daman and Diu,2017-10-01T00:00:00Z,2614,2318,119,2437,0.932287682,,
19,West Bengal,2022-02-01T00:00:00Z,359943,195232,140197,335429,0.931894772,,
3,Punjab,2021-07-01T00:00:00Z,159828,105723,43201,148924,0.93177666,,
26,Dadra and Nagar Haveli,2018-03-01T00:00:00Z,7150,5654,1008,6662,0.931748252,,
3,Punjab,2021-05-01T00:00:00Z,161190,25488,124688,150176,0.931670699,,
9,Uttar Pradesh,2021-04-01T00:00:00Z,768494,65913,650039,715952,0.931629915,,
25,Daman and Diu,2017-08-01T00:00:00Z,2512,2230,110,2340,0.931528662,,
16,Tripura,2022-11-01T00:00:00Z,19594,9168,9078,18246,0.93120343,,
18,Assam,2023-01-01T00:00:00Z,127611,52547,66278,118825,0.931150136,,
97,Other Territory,2017-10-01T00:00:00Z,29,26,1,27,0.931034483,,
22,Chhattisgarh,2023-01-01T00:00:00Z,78435,42324,30700,73024,0.931012941,,
20,Jharkhand,2021-09-01T00:00:00Z,160157,72727,76369,149096,0.930936519,,
25,Daman and Diu,2019-06-01T00:00:00Z,5816,2971,2443,5414,0.93088033,,
3,Punjab,2022-01-01T00:00:00Z,161987,118479,32278,150757,0.930673449,,
20,Jharkhand,2021-12-01T00:00:00Z,164389,71456,81532,152988,0.930646211,,
1,Jammu and Kashmir,2022-03-01T00:00:00Z,104274,37723,59299,97022,0.930452462,,
3,Punjab,2021-10-01T00:00:00Z,160729,111819,37691,149510,0.93019928,,
25,Daman and Diu,2018-01-01T00:00:00Z,2675,2350,138,2488,0.930093458,,
16,Tripura,2023-01-01T00:00:00Z,19719,9655,8684,18339,0.930016735,,
29,Karnataka,2021-09-01T00:00:00Z,790568,393775,341392,735167,0.929922537,,
21,Odisha,2022-07-01T00:00:00Z,161454,61285,88797,150082,0.929565077,,
16,Tripura,2022-09-01T00:00:00Z,27081,10179,14993,25172,0.929507773,,
5,Uttarakhand,2022-02-01T00:00:00Z,82359,44923,31627,76550,0.929467332,,
29,Karnataka,2021-11-01T00:00:00Z,624724,479854,100738,580592,0.929357604,,
37,Andhra Pradesh,2022-04-01T00:00:00Z,250172,120224,112253,232477,0.929268663,,
25,Daman and Diu,2019-09-01T00:00:00Z,5835,2587,2834,5421,0.929048843,,
,Nagaland,2025-02-01T00:00:00Z,7049,2395,4152,6547,0.928784225,,
32,Kerala,2021-02-01T00:00:00Z,231690,114882,100276,215158,0.928646036,,
34,Puducherry,2021-11-01T00:00:00Z,17888,13639,2969,16608,0.928443649,,
35,Andaman and Nicobar Islands,2021-12-01T00:00:00Z,4111,1494,2322,3816,0.928241304,,
23,Madhya Pradesh,2019-12-01T00:00:00Z,354752,214331,114948,329279,0.928194908,,
29,Karnataka,2021-06-01T00:00:00Z,768378,258407,454663,713070,0.928019803,,
25,Daman and Diu,2020-03-01T00:00:00Z,5841,4145,1274,5419,0.927752097,,
4,Chandigarh,2019-06-01T00:00:00Z,27619,16123,9497,25620,0.927622289,,
30,Goa,2017-09-01T00:00:00Z,25339,20038,3463,23501,0.927463594,,
3,Punjab,2019-12-01T00:00:00Z,308579,225736,60423,286159,0.927344375,,
7,Delhi,2018-03-01T00:00:00Z,592372,449150,100156,549306,0.927299062,,
6,Haryana,2021-08-01T00:00:00Z,263426,157088,87152,244240,0.927167402,,
4,Chandigarh,2019-03-01T00:00:00Z,27600,6209,19374,25583,0.92692029,,
25,Daman and Diu,2018-02-01T00:00:00Z,2694,2353,144,2497,0.926874536,,
,Rajasthan,2025-03-01T00:00:00Z,757181,455477,246299,701776,0.926827271,,
6,Haryana,2021-11-01T00:00:00Z,265773,212462,33842,246304,0.926745757,,
29,Karnataka,2021-10-01T00:00:00Z,617773,304836,267672,572508,0.92672875,,
3,Punjab,2021-04-01T00:00:00Z,160461,33698,115001,148699,0.926698699,,
20,Jharkhand,2021-07-01T00:00:00Z,111838,42149,61491,103640,0.926697545,,
2,Himachal Pradesh,2020-12-01T00:00:00Z,91034,67737,16616,84353,0.926609838,,
,Uttar Pradesh,2025-03-01T00:00:00Z,1620029,745782,754922,1500704,0.926343911,,
,Sikkim,2025-02-01T00:00:00Z,6564,3009,3071,6080,0.926264473,,
8,Rajasthan,2020-03-01T00:00:00Z,552190,377455,134003,511458,0.926235535,,
21,Odisha,2022-04-01T00:00:00Z,158626,58412,88500,146912,0.926153342,,
38,Ladakh,2022-05-01T00:00:00Z,2410,741,1491,2232,0.926141079,,
22,Chhattisgarh,2021-04-01T00:00:00Z,71837,6699,59830,66529,0.9261105,,
3,Punjab,2020-12-01T00:00:00Z,323550,261254,38384,299638,0.926094885,,
29,Karnataka,2021-08-01T00:00:00Z,609453,266037,298346,564383,0.92604844,,
6,Haryana,2021-10-01T00:00:00Z,261808,160809,81603,242412,0.925915174,,
5,Uttarakhand,2022-01-01T00:00:00Z,81291,43366,31896,75262,0.925834348,,
7,Delhi,2021-08-01T00:00:00Z,406853,244750,131918,376668,0.925808584,,
13,Nagaland,2022-09-01T00:00:00Z,7662,2081,5012,7093,0.925737405,,
19,West Bengal,2021-12-01T00:00:00Z,617418,296399,275158,571557,0.92572131,,
4,Chandigarh,2020-02-01T00:00:00Z,9666,7826,1122,8948,0.925719015,,
,Ladakh,2025-02-01T00:00:00Z,2592,1028,1371,2399,0.925540123,,
22,Chhattisgarh,2019-12-01T00:00:00Z,105112,56144,41136,97280,0.925489002,,
24,Gujarat,2018-12-01T00:00:00Z,838229,199945,575808,775753,0.925466668,,
21,Odisha,2022-06-01T00:00:00Z,275749,97225,254361,255162,0.925341524,,
20,Jharkhand,2021-11-01T00:00:00Z,116530,85064,22739,107803,0.925109414,,
3,Punjab,2018-12-01T00:00:00Z,294776,69002,203679,272681,0.92504478,,
97,Other Territory,2018-01-01T00:00:00Z,40,36,1,37,0.925,,
24,Gujarat,2019-09-01T00:00:00Z,884817,375641,442740,818381,0.924915548,,
23,Madhya Pradesh,2020-03-01T00:00:00Z,351474,210728,114327,325055,0.9248337,,
16,Tripura,2022-10-01T00:00:00Z,19543,9127,8947,18074,0.924832421,,
19,West Bengal,2022-01-01T00:00:00Z,357852,186563,144380,330943,0.924804109,,
34,Puducherry,2021-12-01T00:00:00Z,20224,10034,8669,18703,0.924792326,,
19,West Bengal,2017-09-01T00:00:00Z,416031,334128,50570,384698,0.924685901,,
5,Uttarakhand,2022-08-01T00:00:00Z,86445,43279,36654,79933,0.924668865,,
4,Chandigarh,2018-09-01T00:00:00Z,27051,15260,9753,25013,0.924660826,,
29,Karnataka,2021-07-01T00:00:00Z,601605,261644,294481,556125,0.924402224,,
29,Karnataka,2021-04-01T00:00:00Z,592417,64395,483187,547582,0.924318512,,
34,Puducherry,2021-10-01T00:00:00Z,17790,8170,8273,16443,0.924283305,,
34,Puducherry,2017-07-01T00:00:00Z,14080,10983,2026,13009,0.923934659,,
27,Maharashtra,2021-02-01T00:00:00Z,667446,310190,306433,616623,0.923854514,,
30,Goa,2017-12-01T00:00:00Z,26231,19986,4246,24232,0.923792459,,
30,Goa,2017-07-01T00:00:00Z,22196,18039,2465,20504,0.923770049,,
24,Gujarat,2021-01-01T00:00:00Z,471208,287241,147990,435231,0.923649429,,
23,Madhya Pradesh,2021-02-01T00:00:00Z,169380,63462,92972,156434,0.923568308,,
8,Rajasthan,2020-06-01T00:00:00Z,556868,255347,258805,514152,0.923292414,,
6,Haryana,2021-04-01T00:00:00Z,255914,33110,203172,236282,0.923286729,,
29,Karnataka,2021-03-01T00:00:00Z,765317,347169,359385,706554,0.923217438,,
20,Jharkhand,2021-08-01T00:00:00Z,113722,46373,58593,104966,0.923005223,,
5,Uttarakhand,2021-11-01T00:00:00Z,81274,59053,15956,75009,0.922915077,,
2,Himachal Pradesh,2020-06-01T00:00:00Z,85305,38125,40602,78727,0.922888459,,
