state_code,state_name,YEAR,MONTH,no_suppliers_intra_state,no_eway_bills_intra_state,asset_value_intra_state,no_suppliers_inter_state_outward,no_eway_bills_inter_state_outward,asset_value_inter_state_outward,no_suppliers_inter_state_inward,no_eway_bills_inter_state_inward,asset_value_inter_state_inward
21,ODISHA,2020,5,10717,528632,10490.16365,3541,118365,11325.13804,22387,202371,10330.41526
22,CHHATTISGARH,2020,5,4321,162694,4237.446962,5805,123475,8159.04174,15258,166609,7644.093284
23,MADHYA PRADESH,2020,5,9807,207865,5586.54855,10877,194593,11399.10523,38737,296041,14176.2694
24,GUJARAT,2020,5,71141,1465131,45074.61916,53614,800352,52998.29179,53464,475817,37518.20193
25,DAMAN AND DIU,2020,5,750,17242,477.9849113,1262,60290,2224.592128,1518,31734,1878.126414
26,DADRA AND NAGAR HAVELI,2020,5,964,25778,1050.200877,1436,82909,4677.320527,1981,52203,3716.946086
27,MAHARASHTRA,2020,5,56234,1851162,52163.96594,44188,999192,52285.73014,84586,741354,55741.58583
29,KARNATAKA,2020,5,64902,2010913,36938.89326,26623,553953,26758.68382,63103,589579,32447.86042
30,GOA,2020,5,1221,49906,761.875625,1021,29943,2949.959522,4643,58774,2714.215649
31,LAKSHADWEEP,2020,5,0,0,0,1,3,0.12276901,29,292,3.860023878
32,KERALA,2020,5,25819,799929,11216.93274,7997,68060,4353.770353,31927,283186,9860.827212
33,TAMIL NADU,2020,5,49270,1579567,34608.2614,38394,700082,28699.80786,60259,552415,34861.01496
34,PUDUCHERRY,2020,5,721,19144,697.5221032,1315,46842,2040.902565,3501,44425,1823.53908
35,ANDAMAN AND NICOBAR,2020,5,7,173,6.555229292,40,145,18.68479249,432,3048,88.12808713
36,TELANGANA,2020,5,23787,928576,17293.53457,17675,305592,17301.4556,34757,338940,19825.834
37,ANDHRA PRADESH,2020,5,20789,773731,14926.74209,11870,244248,17955.63979,39009,334196,17242.85745
38,LADAKH,2020,5,8,68,5.459021763,4,7,0.439341945,255,2849,115.8772358
97,Other Territory,2020,5,5,140,767.8606113,23,1573,849.1417231,121,4760,1762.602326
1,JAMMU AND KASHMIR,2020,4,1022,31352,877.3330987,374,6654,717.4616023,3279,24128,1645.359729
2,HIMACHAL PRADESH,2020,4,2899,51107,999.3918313,1789,46746,3446.448986,4768,53214,2653.531295
3,PUNJAB,2020,4,11638,210607,4370.585055,6152,97022,6518.825205,13338,88442,5898.275114
4,CHANDIGARH,2020,4,348,3369,56.14460742,945,10911,225.4848111,1478,14968,582.4735116
5,UTTARAKHAND,2020,4,3666,80391,1898.226651,2236,56679,4153.741162,5369,56024,2997.196229
6,HARYANA,2020,4,11822,212972,5729.203025,9092,226394,10301.20998,18514,149433,9417.631228
